year,region,FACILITY_NAME,PCOUNTY,Category or Age,Age,Teenager
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SOLANO,7,15,1
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SOLANO,16,24,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SOLANO,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SONOMA,9,17,1
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SONOMA,12,20,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SONOMA,13,21,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SONOMA,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,STANISLAUS,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,ALAMEDA,7,15,1
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,ALAMEDA,10,18,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,ALAMEDA,14,22,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,ALAMEDA,16,24,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,ALAMEDA,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,CALAVERAS,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,CONTRA COSTA,11,19,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,CONTRA COSTA,12,20,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,CONTRA COSTA,14,22,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,CONTRA COSTA,15,23,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,CONTRA COSTA,16,24,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,CONTRA COSTA,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,FRESNO,12,20,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,MARIN,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,Other/Unknown,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,7,15,1
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,8,16,1
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,9,17,1
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,10,18,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,11,19,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,12,20,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,13,21,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,14,22,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,15,23,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,16,24,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN MATEO,7,15,1
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN MATEO,9,17,1
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN MATEO,10,18,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN MATEO,11,19,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN MATEO,12,20,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN MATEO,13,21,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN MATEO,14,22,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN MATEO,15,23,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN MATEO,16,24,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN MATEO,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SANTA CLARA,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SOLANO,15,23,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SOLANO,17,>24 ,0
2010,Bay Coast,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,STANISLAUS,17,>24 ,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,ALAMEDA,17,>24 ,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MADERA,14,22,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MERCED,17,>24 ,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,7,15,1
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,9,17,1
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,10,18,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,11,19,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,12,20,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,13,21,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,14,22,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,15,23,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,16,24,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,17,>24 ,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,Other/Unknown,17,>24 ,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,SAN BENITO,9,17,1
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,SAN BENITO,11,19,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,SAN BENITO,14,22,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,SAN BENITO,17,>24 ,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,SAN BERNARDINO,11,19,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,SAN MATEO,17,>24 ,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,SANTA CLARA,17,>24 ,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,SANTA CRUZ,17,>24 ,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,STANISLAUS,15,23,0
2010,Bay Coast,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,STANISLAUS,17,>24 ,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,ALAMEDA,10,18,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,ALAMEDA,15,23,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,ALAMEDA,16,24,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,ALAMEDA,17,>24 ,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,AMADOR,17,>24 ,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,5,13,1
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,6,14,1
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,7,15,1
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,8,16,1
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,9,17,1
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,10,18,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,11,19,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,12,20,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,13,21,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,14,22,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,15,23,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,16,24,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,17,>24 ,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,KERN,8,16,1
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,NEVADA,17,>24 ,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,Other/Unknown,17,>24 ,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,SACRAMENTO,15,23,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,SACRAMENTO,17,>24 ,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,SAN FRANCISCO,17,>24 ,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,SAN JOAQUIN,9,17,1
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,SAN JOAQUIN,17,>24 ,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,SANTA CRUZ,17,>24 ,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,SOLANO,10,18,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,SOLANO,11,19,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,SOLANO,17,>24 ,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,SONOMA,17,>24 ,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,STANISLAUS,12,20,0
2010,Bay Coast,CONTRA COSTA REGIONAL MEDICAL CENTER,STANISLAUS,16,24,0
2010,Bay Coast,DOMINICAN HOSPITAL,FRESNO,17,>24 ,0
2010,Bay Coast,DOMINICAN HOSPITAL,MONTEREY,11,19,0
2010,Bay Coast,DOMINICAN HOSPITAL,MONTEREY,14,22,0
2010,Bay Coast,DOMINICAN HOSPITAL,MONTEREY,15,23,0
2010,Bay Coast,DOMINICAN HOSPITAL,MONTEREY,16,24,0
2010,Bay Coast,DOMINICAN HOSPITAL,MONTEREY,17,>24 ,0
2010,Bay Coast,DOMINICAN HOSPITAL,Other/Unknown,12,20,0
2010,Bay Coast,DOMINICAN HOSPITAL,Other/Unknown,15,23,0
